iter	RMSE
0	20738.67183
1	18956.63199
2	17366.68345
3	15924.79566
4	14621.10654
5	13454.05282
6	12399.10491
7	11481.11247
8	10641.62837
9	9912.136477
10	9251.095449
11	8676.048606
12	8184.06437
13	7756.42599
14	7375.139937
15	7038.077373
16	6758.604189
17	6505.130133
18	6291.118211
19	6109.344734
20	5952.7074
21	5826.103619
22	5716.488024
23	5623.17329
24	5546.919868
25	5481.359576
26	5427.207106
27	5379.510434
28	5342.630854
29	5308.680954
30	5281.075516
31	5258.549817
32	5238.029714
33	5222.715438
34	5207.922022
35	5197.048578
36	5186.851549
37	5176.690773
38	5169.802843
39	5162.247049
40	5155.294987
41	5149.487292
42	5144.267249
43	5138.457008
44	5135.264491
45	5132.282036
46	5129.473686
47	5126.64662
48	5123.832743
49	5121.660953
50	5119.034215
51	5114.051888
52	5111.283735
53	5108.6505
54	5105.493137
55	5102.661853
56	5101.381816
57	5100.498519
58	5099.043686
59	5095.696199
60	5093.843685
61	5092.218945
62	5089.91014
63	5088.281373
64	5087.531397
65	5085.351357
66	5083.986114
67	5083.305582
68	5081.355061
69	5080.831538
70	5079.655798
71	5077.454416
72	5076.540316
73	5075.517165
74	5074.61445
75	5073.57094
76	5073.025788
77	5072.188854
78	5071.754059
79	5070.793759
80	5069.972472
81	5069.274323
82	5068.870342
83	5066.631462
84	5065.902858
85	5065.073494
86	5064.637742
87	5064.335989
88	5064.091338
89	5063.422316
90	5063.150069
91	5061.041468
92	5059.31202
93	5057.95532
94	5054.347637
95	5051.882456
96	5050.39555
97	5048.458964
98	5047.743164
99	5047.683267
100	5046.648245
101	5046.123649
102	5044.425355
103	5040.367636
104	5040.140409
105	5039.677561
106	5039.277689
107	5036.915054
108	5034.640143
109	5031.80501
110	5031.352301
111	5028.081419
112	5026.386408
113	5025.881319
114	5023.810413
115	5023.107251
116	5022.705095
117	5020.528292
118	5020.32734
119	5017.955923
120	5016.455893
121	5014.56244
122	5011.848456
123	5011.484827
124	5009.126377
125	5008.969213
126	5007.647924
127	5006.490405
128	5004.714811
129	5004.478027
130	5003.789023
131	5002.697013
132	5001.674409
133	5000.822972
134	4999.512191
135	4998.360583
136	4996.383509
137	4995.586844
138	4994.716291
139	4993.844793
140	4993.289464
141	4992.6038
142	4991.601332
143	4990.1962
144	4989.990882
145	4989.118411
146	4987.786801
147	4987.213146
148	4986.639934
149	4985.810488
150	4983.946066
151	4983.143074
152	4981.660405
153	4980.510242
154	4980.410262
155	4979.748211
156	4979.302518
157	4978.225614
158	4977.071106
159	4976.269147
160	4975.773093
161	4975.194189
162	4973.635197
163	4972.043485
164	4970.958825
165	4969.303789
166	4968.817827
167	4967.769986
168	4967.365131
169	4966.010471
170	4964.628334
171	4963.967386
172	4963.097
173	4961.650301
174	4961.459409
175	4961.02376
176	4960.403695
177	4960.24873
178	4959.279871
179	4958.903198
180	4955.371489
181	4954.78621
182	4953.398461
183	4952.471713
184	4951.912604
185	4951.107914
186	4949.854462
187	4946.899067
188	4946.598017
189	4946.197318
190	4945.019925
191	4944.882745
192	4944.316801
193	4943.274103
194	4942.233935
195	4941.950512
196	4941.870916
197	4941.513488
198	4940.743178
199	4939.108684
200	4938.36929
201	4937.874897
202	4936.648703
203	4934.242928
204	4933.894645
205	4933.188884
206	4932.876895
207	4932.412712
208	4931.529231
209	4931.189014
210	4930.158118
211	4929.414873
212	4927.986069
213	4927.330665
214	4924.567439
215	4924.025522
216	4923.903402
217	4921.811369
218	4921.432144
219	4920.432303
220	4919.01585
221	4918.679535
222	4918.098451
223	4917.712939
224	4917.255769
225	4916.374223
226	4915.932446
227	4915.318326
228	4914.554218
229	4914.412476
230	4913.413065
231	4911.637211
232	4909.561266
233	4907.951985
234	4906.77359
235	4906.20195
236	4906.020149
237	4905.361091
238	4904.562908
239	4904.134683
240	4903.841104
241	4903.573641
242	4902.357845
243	4902.02259
244	4900.20808
245	4898.684297
246	4897.900131
247	4897.60137
248	4897.054157
249	4896.26103
250	4895.979831
251	4895.931478
252	4895.617191
253	4894.926616
254	4893.619822
255	4891.853555
256	4891.214113
257	4890.142165
258	4888.664541
259	4887.949381
260	4886.841554
261	4886.567119
262	4885.554289
263	4884.443789
264	4883.468227
265	4883.226515
266	4882.486713
267	4882.165614
268	4881.885164
269	4881.65964
270	4881.240135
271	4879.79285
272	4878.806678
273	4878.729987
274	4878.424027
275	4878.141231
276	4876.648706
277	4875.855966
278	4875.559667
279	4875.111833
280	4874.52327
281	4874.39494
282	4874.046215
283	4873.666057
284	4873.083661
285	4872.859861
286	4872.366015
287	4872.135918
288	4871.640069
289	4871.405463
290	4870.175305
291	4870.089919
292	4869.510342
293	4869.276
294	4868.625913
295	4868.139915
296	4867.680454
297	4866.933906
298	4866.517016
299	4864.594794
300	4863.763828
301	4862.357985
302	4862.056362
303	4861.604557
304	4861.108978
305	4860.811053
306	4859.136084
307	4858.856243
308	4858.388931
309	4857.011093
310	4856.665196
311	4856.430454
312	4856.256274
313	4856.076512
314	4855.772122
315	4855.501214
316	4854.263829
317	4853.753603
318	4853.38364
319	4853.017035
320	4851.337749
321	4850.157242
322	4849.352305
323	4849.021543
324	4847.914991
325	4846.9805
326	4845.925417
327	4845.307328
328	4844.396429
329	4843.839307
330	4843.425719
331	4842.494191
332	4842.033319
333	4841.427531
334	4840.905069
335	4839.750559
336	4839.416902
337	4838.868853
338	4838.711038
339	4838.572648
340	4838.174646
341	4837.754367
342	4836.988635
343	4836.606139
344	4835.766251
345	4835.372212
346	4834.989492
347	4834.764439
348	4834.07608
349	4833.871141
350	4832.967321
351	4832.069024
352	4831.817873
353	4830.516886
354	4830.365884
355	4829.718667
356	4828.005905
357	4827.229333
358	4826.135173
359	4825.655443
360	4824.666914
361	4824.515052
362	4824.307667
363	4823.29315
364	4822.629439
365	4821.818822
366	4821.30205
367	4821.162481
368	4821.01335
369	4820.00956
370	4819.970902
371	4819.520111
372	4819.247443
373	4819.044584
374	4818.874117
375	4818.821993
376	4818.431366
377	4817.042802
378	4815.849746
379	4815.044836
380	4813.662541
381	4813.334077
382	4812.774011
383	4812.560186
384	4811.890919
385	4811.655308
386	4811.533817
387	4811.002173
388	4810.980643
389	4810.651006
390	4810.272549
391	4809.061692
