iter	Passed	Remaining
0	69	34506
1	134	33402
2	195	32327
3	248	30815
4	305	30205
5	357	29463
6	412	29018
7	466	28662
8	527	28751
9	589	28896
10	649	28888
11	707	28774
12	762	28559
13	818	28412
14	874	28281
15	926	28013
16	983	27952
17	1047	28046
18	1114	28215
19	1172	28143
20	1224	27934
21	1280	27823
22	1336	27715
23	1393	27633
24	1448	27526
25	1506	27465
26	1575	27594
27	1640	27659
28	1699	27595
29	1754	27487
30	1812	27418
31	1860	27210
32	1905	26972
33	1955	26795
34	2007	26665
35	2059	26548
36	2114	26456
37	2169	26370
38	2221	26262
39	2266	26066
40	2310	25871
41	2353	25666
42	2396	25470
43	2440	25289
44	2485	25135
45	2540	25077
46	2595	25019
47	2651	24964
48	2696	24816
49	2741	24672
50	2786	24534
51	2828	24369
52	2873	24235
53	2928	24186
54	2975	24075
55	3026	23996
56	3081	23947
57	3138	23916
58	3187	23827
59	3230	23690
60	3271	23546
61	3314	23417
62	3363	23333
63	3408	23217
64	3457	23140
65	3499	23010
66	3552	22956
67	3612	22952
68	3661	22869
69	3708	22778
70	3752	22675
71	3794	22557
72	3839	22458
73	3886	22376
74	3929	22265
75	3972	22164
76	4026	22117
77	4080	22077
78	4138	22053
79	4187	21982
80	4233	21898
81	4279	21814
82	4325	21734
83	4367	21629
84	4413	21546
85	4460	21471
86	4511	21416
87	4565	21375
88	4623	21349
89	4676	21302
90	4722	21223
91	4765	21133
92	4809	21048
93	4855	20970
94	4897	20880
95	4945	20813
96	4989	20730
97	5041	20678
98	5100	20660
99	5152	20609
100	5200	20544
101	5246	20470
102	5289	20389
103	5332	20302
104	5379	20237
105	5427	20174
106	5476	20112
107	5525	20056
108	5580	20016
109	5631	19967
110	5684	19920
111	5723	19826
112	5766	19750
113	5818	19701
114	5862	19626
115	5906	19552
116	5952	19485
117	5995	19409
118	6053	19381
119	6106	19336
120	6158	19288
121	6207	19232
122	6253	19166
123	6300	19106
124	6346	19038
125	6394	18980
126	6437	18908
127	6481	18836
128	6528	18777
129	6587	18748
130	6640	18703
131	6688	18647
132	6732	18578
133	6776	18509
134	6820	18441
135	6864	18371
136	6904	18295
137	6949	18230
138	6999	18177
139	7054	18140
140	7107	18097
141	7162	18056
142	7208	17995
143	7250	17925
144	7296	17864
145	7338	17793
146	7382	17727
147	7427	17665
148	7471	17601
149	7517	17540
150	7567	17490
151	7621	17450
152	7674	17405
153	7718	17340
154	7763	17279
155	7807	17215
156	7851	17152
157	7893	17085
158	7936	17020
159	7992	16983
160	8044	16937
161	8096	16892
162	8149	16849
163	8195	16791
164	8248	16746
165	8302	16704
166	8356	16663
167	8401	16603
168	8448	16546
169	8489	16480
170	8533	16419
171	8587	16375
172	8638	16328
173	8691	16283
174	8739	16230
175	8786	16175
176	8829	16112
177	8878	16061
178	8921	15999
179	8969	15946
180	9011	15882
181	9063	15835
182	9115	15790
183	9166	15743
184	9213	15688
185	9258	15630
186	9302	15571
187	9344	15508
188	9392	15455
189	9437	15398
190	9480	15336
191	9527	15283
192	9580	15238
193	9641	15207
194	9691	15158
195	9741	15108
196	9785	15050
197	9828	14991
198	9873	14933
199	9916	14874
200	9958	14813
201	10002	14755
202	10045	14696
203	10097	14650
204	10154	14613
205	10207	14568
206	10256	14518
207	10299	14458
208	10341	14398
209	10387	14344
210	10432	14288
211	10477	14233
212	10520	14175
213	10567	14122
214	10617	14073
215	10670	14030
216	10724	13985
217	10773	13935
218	10818	13881
219	10863	13826
220	10904	13766
221	10949	13711
222	10996	13659
223	11041	13605
224	11097	13563
225	11148	13516
226	11201	13471
227	11250	13421
228	11304	13377
229	11356	13331
230	11402	13278
231	11444	13219
232	11487	13164
233	11531	13108
234	11579	13057
235	11628	13008
236	11688	12970
237	11735	12918
238	11776	12860
239	11822	12807
240	11867	12754
241	11911	12699
242	11956	12644
243	12001	12591
244	12044	12535
245	12094	12487
246	12145	12440
247	12199	12396
248	12244	12342
249	12287	12287
250	12331	12233
251	12378	12181
252	12433	12139
253	12484	12091
254	12536	12044
255	12592	12002
256	12650	11961
257	12713	11925
258	12774	11886
259	12826	11839
260	12880	11794
261	12936	11751
262	12990	11706
263	13044	11660
264	13097	11614
265	13160	11577
266	13227	11543
267	13289	11504
268	13342	11457
269	13400	11415
270	13453	11368
271	13510	11324
272	13561	11276
273	13622	11236
274	13693	11204
275	13759	11167
276	13810	11118
277	13863	11070
278	13922	11028
279	13972	10978
280	14026	10931
281	14088	10891
282	14154	10853
283	14217	10813
284	14272	10766
285	14335	10726
286	14388	10678
287	14452	10638
288	14504	10589
289	14566	10547
290	14629	10507
291	14694	10467
292	14756	10425
293	14810	10377
294	14862	10327
295	14914	10278
296	14969	10231
297	15026	10185
298	15079	10136
299	15135	10090
300	15200	10049
